Mean_Size,Equivalent Product Size,Size 1,Size 2,Size 3,Size 4,Size 5,Size 6,Size 7,Size 8,Size 9,Size 10,Size 11,Size 12,Size 13,Size 14,Size 15,Size 16,Size 17,Size 18,Size 19,Size 20,Size 21,Size 22,Size 23,Size 24
1.597222,4.791667,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4
1.263889,3.791667,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3
1.222222,3.666667,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3
0.983333,2.95,5,4,5,4,5,4,5,4,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3
0.956944,2.870833,5,4,5,4,5,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3
1.111111,3.333333,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
